"class","term","week","subject","topic","agegroup","context","generated"
"Year 4","Noel Term","4","Vocational Studies","Mineral resources: meaning, types and importance","8-9","","false"
"Year 4","Noel Term","5","Vocational Studies","Clothing: meaning, clothing materials, clothes for different occasions and seasons","8-9","","false"
"Year 4","Noel Term","6","Vocational Studies","Blacksmithing: meaning, tools used by blacksmith and process of production, who is a blacksmith?","8-9","","false"
"Year 4","Noel Term","7","Vocational Studies","Building/ house construction: materials for building","8-9","","false"
"Year 4","Noel Term","8","Vocational Studies","Building) house construction: stages of house construction, profession involved in house construction","8-9","","false"
"Year 4","Noel Term","9","Vocational Studies","Practical: ( Tie and Dye)","8-9","","false"
"Year 4","Noel Term","1","Yoruba Language","Isomoloruko: (1) Awon ohun elo isomoloruko (2) Isomoloruko ni Ile yoruba","8-9","","false"
"Year 4","Noel Term","2","Yoruba Language","Onka: ogorun-un de igba ( 100-200)","8-9","","false"
"Year 4","Noel Term","3","Yoruba Language","Aroso - Ero komputa eta sise nibi ? - Kinni ero komputa - Kin ni iwulo ero komputa","8-9","","false"
"Year 4","Noel Term","4","Yoruba Language","Leta Kiko - Oriki leta kiko - Orisirisi leta","8-9","","false"
"Year 4","Noel Term","5","Yoruba Language","Ilu , Orin ati ijo ibile Yoruba (apa kin-in-ni) ati ilu, Orin ati ijo ibile Yoruba (apa keji)","8-9","","false"
"Year 4","Noel Term","6","Yoruba Language","Aforo I: Pataki, eko fun omode ati Aforo II: kini n o fele se","8-9","","false"
"Year 4","Noel Term","7","Yoruba Language","Oriki orile: areas aagberi ati oni koyi","8-9","","false"
"Year 4","Noel Term","8","Yoruba Language","Oruko abiso ati oruka amutorunwa","8-9","","false"
"Year 4","Noel Term","9","Yoruba Language","Mimo aago- wakati abi iseju atise sise lori aago -- aago melo","8-9","","false"
"Year 5","Noel Term","1","Agricultural Science","Origin of farming","9-10","","false"
"Year 5","Noel Term","2","Agricultural Science","Relevance of agriculture to national development","9-10","","false"
"Year 5","Noel Term","3","Agricultural Science","Agricultural mechanization: meaning, types of machines and importance","9-10","","false"
"Year 5","Noel Term","4","Agricultural Science","Farm produce: meaning, processes, preservations and reasons for preservations","9-10","","false"
"Year 5","Noel Term","5","Agricultural Science","Crop diseases: meaning, examples and effects","9-10","","false"
"Year 5","Noel Term","6","Agricultural Science","Animal diseases: meaning, examples and effects","9-10","","false"
"Year 5","Noel Term","7","Agricultural Science","Soil formation: meaning, agents and processes","9-10","","false"
"Year 5","Noel Term","8","Agricultural Science","Classification of farm animals ( ruminant and non-ruminant animals)","9-10","","false"
"Year 5","Noel Term","9","Agricultural Science","Agricultural resources ( renewable natural resources): meaning, types and importance","9-10","","false"
"Year 5","Noel Term","1","Basic Science","Sense organs: meaning, examples, functions and care","9-10","","false"
"Year 5","Noel Term","2","Basic Science","Erosion: meaning, types, causes and effects and control","9-10","","false"
"Year 5","Noel Term","3","Basic Science","Recycling: meaning, the ways of recycling and importance","9-10","","false"
"Year 5","Noel Term","4","Basic Science","The human body ( skeleton): meaning, types and functions of bone","9-10","","false"
"Year 5","Noel Term","5","Basic Science","The human body (skeleton) : major bones of human body, types and functions of joint","9-10","","false"
"Year 5","Noel Term","6","Basic Science","Reproduction in plants: meaning, types, process, agents, pollination and fertilization","9-10","","false"
"Year 5","Noel Term","7","Basic Science","Rocks: meaning, identification, types, uses and major land mark rocks in Nigeria","9-10","","false"
"Year 5","Noel Term","8","Basic Science","Acid and bases: meaning, litmus paper, properties and uses","9-10","","false"
"Year 5","Noel Term","9","Basic Science","Salts: meaning, types and uses","9-10","","false"
"Year 5","Noel Term","1","Christian Religious Knowledge","God creates and love us (Genesis 1:1-31)","9-10","","false"
"Year 5","Noel Term","2","Christian Religious Knowledge","God supplies our needs : Ways God provides for our needs (God grants our request and provide for our needs) (Exodus 16, Matthew 6:25-35) (a) How God provide for our needs (b) Things that God provided","9-10","","false"
"Year 5","Noel Term","3","Christian Religious Knowledge","God saves us from danger ( Daniel 3:3-10, Genesis 22:1-19) (a) God delivers people from danger (b) Examples of God's deliverance (c) The crossing of the Red sea (d) God saved Daniel in the lion's den","9-10","","false"
"Year 5","Noel Term","4","Christian Religious Knowledge","God wants us to work (a) Meaning of work (b) Bible references: Matthew 4:18-22, Proverb 32:13-19 (c) Ways- types of work (2 Thessalonians 3:10) (d) Examples are teachers (e) Why we should work","9-10","","false"
"Year 5","Noel Term","5","Christian Religious Knowledge","Paul's early life: Paul's name, nationality and religion i.e Saul I. Paul was a Hebrew, a Roman and a Greek II. He was originally a Judas and later a Christian - Paul's early life continues: I. Paul's place of birth (Tarsus)(Acts 22:3) II. Son of a Pharisee( Acts 23:6) - Paul's early life continues: I. Paul studied under Gamaliel ( Acts 22:3) II. Persecuted the church (Acts 8:1-3) - Paul's early life continues: I. Approval of Stephen's death ( Acts 7:54-60, 8:1)","9-10","","false"
"Year 5","Noel Term","6","Christian Religious Knowledge","Paul's conversion: I. Paul's proposed mission to Damascus( Acts 9:3-9) II. What happened to Paul on the way(Acts 9:3-9) - Paul's conversion continues: The healing and commission of Paul by Ananias (Acts 9:10 -19): I. Ananias vision (Acts 9:10-16) II. The healing and commissioning ( Acts 9:17-19)","9-10","","false"
"Year 5","Noel Term","7","Christian Religious Knowledge","Paul's missionary journey - Paul preached to different people ( Acts 13:5; 14:5) Paul's missionary journey continues - Paul preached to different people ( Antioch in Pisidia, Lystra and Derbe) (Acts 14:6-21)","9-10","","false"
"Year 5","Noel Term","8","Christian Religious Knowledge","The prince of peace is coming ( Luke 1:26-38, Isaiah 2:2-4, Matthew 3:1-12)","9-10","","false"
"Year 5","Noel Term","9","Christian Religious Knowledge","The prince of peace has come ( Luke 2:1-7, Matthew 2:1-12)","9-10","","false"
"Year 5","Noel Term","1","Citizenship","Election: meaning, types, major terms used in electoral processes and importance","9-10","","false"
"Year 5","Noel Term","2","Citizenship","Nationalism : meaning, ways of promoting nationalism and some nationalist in Nigeria","9-10","","false"
"Year 5","Noel Term","3","Citizenship","National honors and award: meaning, types, reasons and people","9-10","","false"
"Year 5","Noel Term","4","Citizenship","Human rights activists: meaning of human rights activists in Nigeria","9-10","","false"
"Year 5","Noel Term","5","Citizenship","Pressure groups : meaning, ways of promoting nationalism, some nationalist in Nigeria","9-10","","false"
"Year 5","Noel Term","6","Citizenship","Nigeria's foreign policy and international relations","9-10","","false"
"Year 5","Noel Term","7","Citizenship","The united nation and the common wealth of nations: members states, aims, objectives and functions","9-10","","false"
"Year 5","Noel Term","8","Citizenship","OPEC and AU: meaning, members state, aims, objectives and functions","9-10","","false"
"Year 5","Noel Term","9","Citizenship","International conflicts and ECOWAS ( case study of Niger republic)","9-10","","false"
"Year 5","Noel Term","1","Computer Studies","Microsoft word: meaning, features and navigation","9-10","","false"
"Year 5","Noel Term","2","Computer Studies","Word processing skills: editing (meaning, steps), saving(meaning, steps), retrieving ( meaning, steps)","9-10","","false"
"Year 5","Noel Term","3","Computer Studies","Introduction to typing ( practical)","9-10","","false"
"Year 5","Noel Term","4","Computer Studies","Computer network: meaning, types, functions, advantages and disadvantages","9-10","","false"
"Year 5","Noel Term","5","Computer Studies","Internet: meaning, types, uses and internet browser","9-10","","false"
"Year 5","Noel Term","6","Computer Studies","Computer misuse/abuse","9-10","","false"
"Year 5","Noel Term","7","Computer Studies","Care of computer","9-10","","false"
"Year 5","Noel Term","8","Computer Studies","Storage devices","9-10","","false"
"Year 5","Noel Term","9","Computer Studies","Artificial intelligence","9-10","","false"
"Year 5","Noel Term","1","Creative Writing","My summer holiday","9-10","","false"
"Year 5","Noel Term","2","Creative Writing","Beginning, middle and end of a story -- The secondary school of my choice","9-10","","false"
"Year 5","Noel Term","3","Creative Writing","The owl and the pussy cat","9-10","","false"
"Year 5","Noel Term","4","Creative Writing","How to create an Email address","9-10","","false"
"Year 5","Noel Term","5","Creative Writing","Bell rings for end of lesson","9-10","","false"
"Year 5","Noel Term","6","Creative Writing","Hard work pays off","9-10","","false"
"Year 5","Noel Term","7","Creative Writing","How I can change the world","9-10","","false"
"Year 5","Noel Term","8","Creative Writing","What I want to be when I grow up ( child hood dreams and ambitions)","9-10","","false"
"Year 5","Noel Term","9","Creative Writing","A visit to the relative house","9-10","","false"
"Year 5","Noel Term","1","Cultural and Creative Arts","Light and shade: meaning, how light reflects on object to show light and shadow","9-10","","false"
"Year 5","Noel Term","2","Cultural and Creative Arts","Imaginative drawing: meaning, materials, draw from your memory, e.g festivals, village scenes","9-10","","false"
"Year 5","Noel Term","3","Cultural and Creative Arts","Imaginative composition: meaning, definition of choir, voice parts of choir","9-10","","false"
"Year 5","Noel Term","4","Cultural and Creative Arts","Drawing and painting: Benin bronze work","9-10","","false"
"Year 5","Noel Term","5","Cultural and Creative Arts","Pattern, design and motif: meaning, types (plain, twill and mat weaving) and uses","9-10","","false"
"Year 5","Noel Term","6","Cultural and Creative Arts","Weaving: meaning, types, materials and importance","9-10","","false"
"Year 5","Noel Term","7","Cultural and Creative Arts","Introduction values in cultural and creative arts","9-10","","false"
"Year 5","Noel Term","8","Cultural and Creative Arts","Perspectives: meaning, types and importance","9-10","","false"
"Year 5","Noel Term","9","Cultural and Creative Arts","Practical ( Christmas decorations)","9-10","","false"
"Year 5","Noel Term","1","Geography","Town and villages: meaning, features and amenities","9-10","","false"
"Year 5","Noel Term","2","Geography","The local government areas in Nigeria and their headquarters","9-10","","false"
